Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18821118BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1882-11-18,TYROL,Ty,"'peNL, peBH'",,"'orgNatSc, orgStort'",,"'Kri, N, Rom'","'Kristiania, Norge, Rom'",,"'woFo, woDu'"
B18821202FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1882-12-02,ROMA,Rom,"'peJLH, peBB, peKBj'",,,,"'SE, Ty, N, Kbh'","'Sverigs, Brixen, Norge, København'",,woFo
B18821205FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1882-12-05,ROMA,Rom,,,,,"'Kbh, Sthlm'","'Kbhavn, Stockholm'",,
B18821205HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1882-12-05,ROMA,Rom,,,orgChrTh,,Kri,Christiania,,
B18821206BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1882-12-06,ROMA,Rom,,,,,,,,
B18821208LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1882-12-08,ROMA,Rom,,,orgKoTh,,Sthlm,Stockholm,,woFo
B18821212EF,peHI,HENRIK IBSEN,peEF,EDVARD FALLESEN,1882-12-12,ROMA,Rom,peFH,,orgKT,,,,,woFo
B18821212KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1882-12-12,ROMA,Rom,,,,,Sthlm,Sthlm,,
B18821213KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1882-12-13,ROMA,Rom,peFH,,,,Sthlm,Stockholm,,woFo
B18821214HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1882-12-14,ROMA,Rom,peLW,,orgChrTh,,,,,woFo
B18821218FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1882-12-18,ROMA,Rom,"'peLJ, peSuI, peVaVa, peUvF, peFB'",,orgKoTh,,"'Sthlm, Ty, Hel, Link, Pa'","'Stockholm, Tyrol, Helsingfors, Linköping, Paris'",,woFo
B18821224HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1882-12-24,ROMA,Rom,"'peSG, peARei, peOHa, peHBru, peBHWS, peJSel, peAaG, peNL'",,,,,,,woFo
B18821227NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1882-12-27,ROMA,Rom,peSiI,,"'orgChrTh, orgGyl, orgNatSc'",,,,,woFo
B18821231HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1882-12-31,ROMA,Rom,"'peARei, peJFB'",,orgChrTh,,,,,woFo
B18830111FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-01-11,ROMA,Rom,"'peSiI, peJNMad, peNL'",,orgChrTh,,"'Pa, It, D'","'Paris, Italiens, Tyskland'",,"'woFo, woVi'"
B18830112NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1883-01-12,ROMA,Rom,,,orgChrTh,,Kri,Kristiania,,woFo
B18830113UvF,peHI,HENRIK IBSEN,peUvF,URBAN VON FEILITZEN,1883-01-13,ROMA,Rom,,,,,SE,Sverige,,"'woFo, woVi'"
B18830117CC,peHI,HENRIK IBSEN,peCC,CAMILLA COLLETT,1883-01-17,ROMA,Rom,,,,,N,Norge,,
B18830123HBa,peHI,HENRIK IBSEN,peHBa,HERMAN BANG,1883-01-23,ROMA,Rom,peFH,,,,,,"'Herr Herman Bang., Frederiksborggade 28., 1. Sal., Kopenhagen., (Danimarca.)'",woGe
B18830124JS,peHI,HENRIK IBSEN,peJS,JOHAN SVERDRUP,1883-01-24,ROMA,Rom,,,,,,,"'Herr storthingspræsident, Johan Sverdrup., Christiania, (Norvegia.)'",
B18830221FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-02-21,ROMA,Rom,"'peMAG, peHBa, peFrkLerche, peSiI, peVaVa, peACPR, peReiers'",,orgGotT,,"'Pa, Hel, Mun, SE, Fin'","'Paris, Helsingfors, München, Sverig, Finland'",,"'woGe, woFo, woG1, woC2, woVi'"
B18830223DampD,peHI,HENRIK IBSEN,orgDampD,DIREKSJONEN FOR DAMPSKIPET «DRONNINGEN»,1883-02-23,ROMA,Rom,,,,,"'Kris, Kri'","'Kristianssand, Kristiania'","'Til, direktionen for, dampskibet «Dronningen»., Kristianssand., Norwegen., (Norvegia.)'",
B18830315FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-03-15,ROMA,Rom,,,,,,,,"'woG1, woG2'"
B18830317DampD,peHI,HENRIK IBSEN,orgDampD,DIREKSJONEN FOR DAMPSKIPET «DRONNINGEN»,1883-03-17,ROMA,Rom,peNL,,,,"'N, Kri'","'Norge, Kristiania'","'Til, direktionen for dampskibet, «Dronningen»., Kristianssand., Norwegen., (Norvegia.)'",
B18830322GS,peHI,HENRIK IBSEN,peGS,GEORG SIBBERN,1883-03-22,ROMA,Rom,peSiI,,,,"'Sthlm, Mun, Pa'","'Stockholm, München, Paris'",,
Budat188303KG,peHI,HENRIK IBSEN,peKG,KRISTIAN GLØERSEN,1883-03-29,ROMA,Rom,peMKH,,,,,,,
B18830330FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-03-30,ROMA,Rom,,,,,,,,woG2
B18830402NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1883-04-02,ROMA,Rom,,,,,,,,woG2
B18830406FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-04-06,ROMA,Rom,,,,,,,,woG2
B18830419AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1883-04-19,ROMA,Rom,,,orgGyl,,"'Kbh, SE, Sthlm, Got, Mun'","'København, Sverige, Stockholm, Göteborg, München'",,"'woUF, woGe'"
B18830525LW,peHI,HENRIK IBSEN,peLW,LUCIE WOLF,1883-05-25,ROMA,Rom,peSuI,,orgChrTh,,,,,
B18830604FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-06-04,ROMA,Rom,"'peFraH, peBB'",,orgGotT,,"'N, Dk, SE, Ty, Goss'","'Norge, Danmark, Sverig, Tyrol, Gossensass'",,"'woG2, woKE, woFo, woVi'"
B18830612GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1883-06-12,ROMA,Rom,"'peFHa, peGBr'",,,,"'D, Mun, Fr, Dk, Ty'","'Tyskland, München, Frankrig, Danmark, Tyrol'",,"'woG1, woG2, woFo, woVi'"
B18830617KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1883-06-17,ROMA,Rom,peFH,,orgGyl,,Kbh,København,,woFo
B18830621NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1883-06-21,ROMA,Rom,,,,,"'Mun, Kri, Ty, N'","'München, Kristiania, Tyrol, Norge'",,
B18830704EK,peHI,HENRIK IBSEN,peEK,EMMA KLINGENFELD,1883-07-04,GOSSENSASS,Goss,"'peSuI, peFH, peMT, peGB, peGBr'",,"'orgGyl, orgPR'",,"'D, Ost, Berl, Kbh, Mun'","'Tyskland, Østerrig, Berlin, København, München'",,"'woG2, woGe, woFo'"
B18830726OO,peHI,HENRIK IBSEN,peOO,OLAUS OLSEN,1883-07-26,GOSSENSASS,Goss,peNL,,,,Kri,Kristiania,,woGe
B18830802AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1883-08-02,GOSSENSASS,Goss,peFH,,orgGyl,,"'Helsborg, Kbh, Sthlm'","'Helsingborg, København, Stockholm'",,"'woGe, woFo'"
B18830819AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1883-08-19,GOSSENSASS,Goss,"'peHWi, peNL'",,"'orgChrTh, orgNat'",,"'Kri, Sthlm, Kbh'","'Kristiania, Stockholm, København'",,woGe
B18830825FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-08-25,GOSSENSASS,Goss,"'peAL, peFraH'",,,,"'Helsborg, Kbh, Got'","'Helsingborg, København, Göteborg'",,"'woUF, woGe, woFo'"
B18830829FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-08-29,GOSSENSASS,Goss,,,,,"'Kbh, Rom, Sthlm'","'Kbhavn, Rom, Stockholm'",,
B18830830KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1883-08-30,GOSSENSASS,Goss,"'peFH, peAL, peEStj, peEaE'",,,,"'Sthlm, Kbh, Rom'","'Stockholm, København, Rom'",,"'woGe, woFo, woHH'"
B18830902NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1883-09-02,GOSSENSASS,Goss,"'peOO, peAL'",,orgKoTh,,"'Kri, Helsborg, Kbh, Ty'","'Kristiania, Helsingborg, København, Tyrol'",,woGe
B18830905FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-09-05,GOSSENSASS,Goss,"'peAL, peNL, peOP'",,orgKoTh,,"'Kri, Sthlm, Kbh'","'Kristiania, Stockholm, København'",,"'woGe, woVi'"
B18830906KAWi,peHI,HENRIK IBSEN,peKAWi,KRISTIAN ANASTAS WINTERHJELM,1883-09-06,GOSSENSASS,Goss,"'peAL, peHWi'",,,,"'Kri, Helsborg'","'Kristiania, Helsingborg'",,
B18830918FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-09-18,GOSSENSASS,Goss,peBB,,orgKoTh,,"'Kbh, Sthlm, Rom'","'København, Stockholm, Rom'",,woGe
B18830918OP,peHI,HENRIK IBSEN,peOP,OTTO PETERSEN,1883-09-18,GOSSENSASS,Goss,,,,,Kbh,København,,woGe
B18831016FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-10-16,BOZEN,Boz,peBB,,,,"'Ty, It, Goss, Rom'","'Tyrol, Italien, Gossensass, Rom'",,woKE
B18831113NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1883-11-13,ROMA,Rom,"'peAL, peOO'",,orgNatSc,,Goss,Gossensass,,
B18831116Dagbl,peHI,HENRIK IBSEN,orgDagbl,DAGBLADET,1883-11-16,ROMA,Rom,,,,,,,"'«Dagbladet»s , ., Øvre Slotsgade 18 & 20., Christiania., Norvegia.'",
B18831118OO,peHI,HENRIK IBSEN,peOO,OLAUS OLSEN,1883-11-18,ROMA,Rom,peNL,,,,,,,"'woFo, woUF, woHH, woGe'"
B18831227FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1883-12-27,ROMA,Rom,"'peHD, peGB'",,,,Kbh,København,,woUF
BudatABa,peHI,HENRIK IBSEN,peABa,ANDREA BARBARO,1883,,,,,,,,,"'Albergo della Luna., Amalfi.'",
Budat18840102JLi,peHI,HENRIK IBSEN,peJLi,JONAS LIE,1884-01-02,ROMA,Rom,,,,,,,,
B18840109BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1884-01-09,ROMA,Rom,"'peBBj, peHSch, peKBj'",,orgChrTh,,Kri,Kristianias,,
B18840117FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-01-17,ROMA,Rom,"'peJLi, peHPont, peHD, peAL'",,,,"'Pa, SE, Dk, N'","'Paris, Sverig, Danmark, Norge'",,woGe
B18840310AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1884-03-10,ROMA,Rom,"'peHWi, peHSch, peFH, peKAWi'",,"'orgChrTh, orgNatSc, orgGyl'",,"'Kbh, Berg'","'København, Bergen'",,"'woF2, woGe'"
B18840313AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1884-03-13,ROMA,Rom,"'peAlex, peFH'",,,,"'Berl, Lon'","'Berlin, London'","'Herr bogholder August Larsen., Gyldendalske boghandel., Kopenhagen., (Danimarca.)'",woDu
B18840316NR,peHI,HENRIK IBSEN,peNR,NIELS RAVNKILDE,1884-03-16,ROMA,Rom,,,,,,,,
B18840323BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1884-03-23,ROMA,Rom,"'peHEB, peKBj'",,orgStort,,Ty,Tyrol,,
B18840326NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1884-03-26,ROMA,Rom,peAMC,,,,N,Norge,,
B18840330OWe,peHI,HENRIK IBSEN,peOWe,OSCAR WERGELAND,1884-03-30,ROMA,Rom,"'peOSch, peHvP, peOSi, peANy, peJKr, pePaAW, peAMC, peCC'",,,,"'Mun, Ty, Boz, Pa'","'München, Tyrol, Bozen, Paris'",,woVi
B18840402GHe,peHI,HENRIK IBSEN,peGHe,GUNNAR HEIBERG,1884-04-02,ROMA,Rom,"'peJDIH, peJV, peBPo, peChMa'",,"'orgChrTh, orgNatSc'",,"'Berg, Ham, D, Kri'","'Bergen, Hamburg, Tyskland, Kristianias'",,
Budat1884Stort,peHI,HENRIK IBSEN,orgStort,STORTINGET,1884,KRISTIANIA/ROMA,Kri plRom,,,,,,,,
B18840417CFH,peHI,HENRIK IBSEN,peCFH,CARL HOCHSCHILD,1884-04-17,ROMA,Rom,peSiI,,,,"'Sthlm, Kri, Dre, Mun, D, It, Ost, Pa'","'Stockholm, Kristiania, Dresden, München, Tyskland, Italien, Østerrig, Paris'",,
B18840421FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-04-21,ROMA,Rom,"'peHeJa, peHD, peOBe, peSHe'",,,,N,Norge,,"'woKK, woVi'"
B18840430Rye,peHI,HENRIK IBSEN,peRye,FRØKEN RYE,1884-04-30,ROMA,Rom,peGT,,,,,,'Signora Rye.',
B18840522CHS,peHI,HENRIK IBSEN,peCHS,CHRISTIAN SCHWEIGAARD,1884-05-22,ROMA,Rom,"'peSiI, peCFH'",,,,N,Norge,,
B18840530NR,peHI,HENRIK IBSEN,peNR,NIELS RAVNKILDE,1884-05-30,ROMA,Rom,peJFr,,,,,,,
B18840614FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-06-14,ROMA,Rom,"'peSuI, peSiI'",,,,"'Ty, Sthlm'","'Tyrol, Stockholm'",,woVi
B18840625GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1884-06-25,ROMA,Rom,"'peSuI, peSiI, peGBr'",,,,"'Kbh, Goss, Ty, N'","'København, Gossensass, Tyrol, Norge'",,woVi
B18840625NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1884-06-25,ROMA,Rom,"'peSuI, peSiI'",,,,"'Goss, Ty, N'","'Gossensass, Tyrol, Norge'","'Herr boghandler Nils Lund., Rosenkrantzgaden., Kristiania., Norvegia.'",woVi
B18840627FRi,peHI,HENRIK IBSEN,peFRi,FANNY RIIS,1884-06-27,ROMA,Rom,,,,,,,,
B18840627TC,peHI,HENRIK IBSEN,peTC,THEODOR CASPARI,1884-06-27,ROMA,Rom,"'peSuI, peSiI, peCMCas'",,,,"'Goss, Ty, N'","'Gossensass, Tyrol, Norge'",,woVi
B18840629FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-06-29,ROMA,Rom,peSiI,,,,"'Goss, Ty'","'Gossensass, Tyrol'",,woVi
B18840704SuI,peHI,HENRIK IBSEN,peSuI peSiI,SUSANNA OG SIGURD IBSEN,1884-07-04,GOSSENSASS,Goss,"'peSiI, peSchl, peHeVa, peTG, peNR'",,"'orgDagbl, orgAftp'",,"'Bas, Rom, Kri, Kbh, Mod, Ala, Ver, Fir, Mun, Bren, Kri'","'Basel, Rom, Kristiania, København, Modena, Ala, Verona, Florents, München, Brenner, Kristiania'",,woVi
B18840709SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-07-09,GOSSENSASS,Goss,"'peNR, peORed, peMRed, peSuI'",,,,"'Kbh, Lund'","'Kbh., Lund'",,woVi
B18840720SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-07-20,GOSSENSASS,Goss,"'peJS, peLHo, peJHT, peRosa, pePaula, pePeter, peLuGr, peMarGr, peORed, peMRed, peTG, peSRi, peChS, peNR, peErHa, peBG, peSuI'",,"'orgDagbl, orgHotG'",,"'Trhm, Mun, Fr, Pont, Ster, Rom'","'Trondhjem, München, Frankrig, Pontigel, Sterzing, Rom'",,woVi
B18840728SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1884-07-28,GOSSENSASS,Goss,"'peSiI, peOSi, peASi, peSiSi, peAnMa, peDSchee, peSiI, peSiLi, peNiLi'",,,,"'Nord, Trhm, Bren, Ster, Pont, Ried, Mun, D, Ala, It, Ost, Fr, Tro, Lund'","'Nordkap, Trondhjem, Brenner, Sterzing, Pontigel, Ried, München, Tyskland, Ala, Italien, Østerrig, Frankrig, Tromsø, Lund'",,"'woVi, woPG, woGe'"
B18840809SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-08-09 - 1884-08-10,GOSSENSASS,Goss,"'peSuI, peDaSp, peTG, peLGa, peElSc, peMirafiori, peVGSp, peDSp, peVikt2'",,,,"'Sel, Stein, Berl, It, Nord, Trhm, Mun, Fir'","'Selbo, Steinach, Berlin, Norditalien, Nordkap-bestigningen, Trondhjem, München, Florents'",,woVi
B18840815BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1884-08-15,GOSSENSASS,Goss,"'peJLi, peKBj'",,orgDagbl,,Schwaz,Schwaz,,woVi
B18840819SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1884-08-19,GOSSENSASS,Goss,"'peSiI, peBB, peKBj, peJLi, peLP, peEPas, peESta, peAPSta, peSRi, peChS, peAuGr, peGB, peDaSp, peSiI'",,,,"'Sel, Lund, Schwaz, BerGad, Ster, Inn, Wien'","'Selbo, Lund, Schwaz, Berchtesgaden, Sterzing, Innsbruck, Wien'",,"'woVi, woBr, woKE, woUF, woHH, woF2, woSS, woDu, woPG, woFo, woGe'"
B18840827SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-08-27,GOSSENSASS,Goss,"'peLvFr, peHeFr, peWvF, peFvP, peWAA, peRiA, peOvF, peJvKo, peMKo, peMirafiori, peVGSp, peVikt2, peLDS, peDSp, peSRi, peChS, peNR, peSuI'",,orgHotG,,"'It, Mun, Rom, Rom'","'Italien, München, Rom, Rom'",,woVi
B18840830SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1884-08-30,GOSSENSASS,Goss,"'peFH, peSiI'",,orgGyl,,,,,woVi
B18840901FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-09-01,GOSSENSASS,Goss,peAuLa,,,,,,"'Herr justitsråd Hegel., Gyldendalske boghandel., Kopenhagen, (Dänemark.)'",
B18840902FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-09-02,GOSSENSASS,Goss,"'peJLi, peSuI, peSiI'",,,,"'Rom, Schwaz, BerGad, Kbh, Nord, Sel'","'Rom, Schwaz, Berchtesgaden, København, Nordkap, Selbosøen'",,woVi
B18840908SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-09-08,GOSSENSASS,Goss,"'peOtDe, peSRi, peChS, peBG, peNR, peSuI'",,,,"'Ror, Rom, Na, Kri'","'Røros, Rom, Neapel, Kristiania'",,"'woVi, woHH'"
B18840917SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1884-09-17,GOSSENSASS,Goss,"'peEBj, peJLi, peSiI, peBBj, peElSc, pePfe, peMarGr, peSRi, peChS'",,,,"'Kri, Schwaz, Kri, Mun'","'Kristiania, Schwaz, Kristiania, München'",,woVi
B18840920LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1884-09-20,GOSSENSASS,Goss,"'peHM, peFH, peSuI, peSiI'",,"'orgGyl, orgKoTh'",,"'SE, Kbh, Rom, Nord, Kri, Schwaz, Inn'","'Sverige, København, Rom, Nordkap, Kristiania, Schwaz, Innsbruck'",,"'woVi, woKK, woBr'"
B18840923KBj,peHI,HENRIK IBSEN,peKBj,KAROLINE BJØRNSON,1884-09-23,GOSSENSASS,Goss,"'peBI, peBB, peSuI, peSiI, peBBj'",,,,"'Schwaz, Kri'","'Schwaz, Kristiania'",,
B18840924SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1884-09-24,GOSSENSASS,Goss,"'peJS, peSArc, peLuDa, peHEB, peBB, peRudd, peChS, peNR, peSRi, peSuI, peNG, peEGr'",,,,"'D, Kri, SE, Mer, Schel, It, Rom, Ty'","'Tyskland, Kristiania, Sverig, Meran, Schelleberg, Italien, Rom, Sydtyrol'",,
B18840925VaVa,peHI,HENRIK IBSEN,peVaVa,VALFRID VASENIUS,1884-09-25,GOSSENSASS,Goss,"'peWSo, peFH, peJEVa, peSuI, peSiI'",,orgGyl,,"'Rom, Fin, N, Dk, SE, Sle, Am, Hel'","'Rom, Finland, Norge, Danmark, Sverigs, Slesvig, Amerika, Helsingfors'",,"'woKE, woVi'"
B18840928CAM,peHI,HENRIK IBSEN,peCAM,CHRISTOPHER ANDREAS MYHLENPHORT,1884-09-28,GOSSENSASS,Goss,peMMy,,,,Rom,Rom,,
B18840929BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1884-09-29,GOSSENSASS,Goss,"'peSuI, peBBj, peHSch'",,"'orgChrTh, orgStort'",,Kri,Kristiania,,
B18841003SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1884-10-03,GOSSENSASS,Goss,"'peCAM, peMMy, peMLMy, peCCl, peNR, peSRi, peChS, peMarGr, peSiI'",,,,"'Rom, Na, It, SE'","'Rom, Neapel, Italien, Sverige'",,
B18841005FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-10-05,ROMA,Rom,,,,,"'Rom, Ty, Mun'","'Rom, Sydtyrol, München'",,woVi
B18841018FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-10-18,GOSSENSASS,Goss,"'peMT, peJHT, peUvF, peVaVa, peEGo, peWA, peLP, peBG, peSiI, peSuI'",,,,"'Kri, Link, Hel, Lon, Konig, Mun, Rom'","'Kristiania, Linköping, Helsingfors, London, Königsberg, München, Rom'",,"'woVi, woHv, woRo'"
B18841020GHe,peHI,HENRIK IBSEN,peGHe,GUNNAR HEIBERG,1884-10-20,GOSSENSASS,Goss,"'peNL, peSuI, peSiI'",,,,"'Berg, Kri, Rom'","'Bergen, Kristiania, Rom'",,woVi
B18841020ChrTh,peHI,HENRIK IBSEN,orgChrTh,CHRISTIANIA THEATER,1884-10-20,GOSSENSASS,Goss,peNL,,,,Rom,Rom,,woVi
B18841020KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1884-10-20,GOSSENSASS,Goss,,,,,"'Sthlm, Rom'","'Stockholm, Rom'",,woVi
B18841020KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1884-10-20,GOSSENSASS,Goss,,,,,"'Kbh, Rom'","'København, Rom'",,woVi
B18841027Dagbl,peHI,HENRIK IBSEN,orgDagbl,DAGBLADET,1884-10-27,GOSSENSASS,Goss,peLHo,,orgChrTh,,,,,
B18841030FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-10-30,GOSSENSASS,Goss,"'peBB, peBBj, peSiI, peJeSa'",,,,"'Rom, Boz, Kbh, Ty, Kri'","'Rom, Bozen, København, Tyrol, Kristiania'",,woVi
B18841105HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1884-11-05,BOZEN,Boz,,,orgDagbl,,Rom,Rom,"'Herr teaterchef Schrøder., Kristiania., (Norwegen.)'",woVi
B18841114HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1884-11-14,ROMA,Rom,"'peARei, peCNJ, peLW, peSR, peLG, peHFHa, peBBj, peJFB, peHeKl, peJSel, peAI, peOJB, peCARA, peSG'",,,,,,"'Herr teaterchef Schrøder,, ridder af Nordstjerne Ord et. c, Kristiania., (Norvegia.)'",woVi
B18841120JLi,peHI,HENRIK IBSEN,peJLi,JONAS LIE,1884-11-20,ROMA,Rom,"'peBB, peSuI'",,,,"'Pa, BerGad, Schwaz'","'Paris, Berchtesgaden, Schwaz'","'Herrn Jonas Lie., Berchtesgaden., in Bayern., (Germania.)'",woVi
B18841121WB,peHI,HENRIK IBSEN,peWB,WILHELM BOLIN,1884-11-21,ROMA,Rom,peJLi,,,,,,,woVi
B18841122AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1884-11-22,ROMA,Rom,,,orgKoTh,,,,,woVi
B18841123FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-11-23,ROMA,Rom,,,"'orgDagbl, orgChrTh, orgKoTh'",,Kri,Kristiania,,woVi
B18841128KoTh,peHI,HENRIK IBSEN,orgKoTh,KONGL. THEATRARNE I STOCKHOLM,1884-11-28,ROMA,Rom,,,,,Sthlm,Stockholm,,woVi
B18841130HSch,peHI,HENRIK IBSEN,peHSch,HANS SCHRØDER,1884-11-30,ROMA,Rom,peAI,,,,,,"'Herr teaterchef Schrøder,, ridder af Nordstjernen etc., Kristiania., Norwegen., (Norvegia.)'",woVi
B18841208FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-12-08,ROMA,Rom,"'peEF, peGB, peLuH, peAKie, peSuI'",,"'orgKT, orgAftp'",,Kri,Kristiania,,woVi
B18841209KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1884-12-09,ROMA,Rom,,,,,,,,woVi
B18841219SFa,peHI,HENRIK IBSEN,peSFa,SØREN FALCH,1884-12-19,ROMA,Rom,peNL,,orgStort,,"'Ska, D, Kri'","'de skandinaviske lande, Tyskland, Kristiania'","'Herr S. Falch,, økonom ved den nationale scene., Bergen, in Norwegen., (Norvegia.)'",woVi
B18841221FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1884-12-21,ROMA,Rom,,,,,,,,
B18850110NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1885-01-10,ROMA,Rom,peSiI,,"'orgNatSc, orgChrTh'",,Sthlm,Stockholm,,woVi
B18850211FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1885-02-11,ROMA,Rom,"'peLJ, peMT, peAM, peHMod, peBB, pePCA, peSiI, peJPe'",,,,"'Kri, Kri, Sthlm'","'Kristiania, Kristiania, Stockholm'",,"'woBr, woPG, woVi, woDu'"
B18850218AL,peHI,HENRIK IBSEN,peAL,AUGUST LINDBERG,1885-02-18,ROMA,Rom,"'peElHw, peAWil, peLSee, peAWLin'",,orgKoTh,,Sthlm,Stockholm,,woVi
B18850220CFDM,peHI,HENRIK IBSEN,peCFDM,CHRISTIANE MAGELSSEN,1885-02-20,ROMA,Rom,,,,,,,,
Budat18850301NR,peHI,HENRIK IBSEN,peNR,NIELS RAVNKILDE,1885-03-01,ROMA,Rom,,,,,,,,
Budat1885IAa,peHI,HENRIK IBSEN,peIAa,INGEBORG AAS,1885-03-01,ROMA,Rom,peSuI,,,,,,,
B18850302FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1885-03-02,ROMA,Rom,"'peMT, peBB, peNL, peSiI'",,,,"'Kbh, Sthlm'","'København, Stockholm'",,woVi
B18850309ORi,peHI,HENRIK IBSEN,peORi,OLE RICHTER,1885-03-09,ROMA,Rom,,,,,,,,
